date,region_group,일별_합계,산불발생여부
2017-08-09,강원,0,0
2017-08-10,강원,0,0
2017-08-11,강원,0,0
2017-08-12,강원,0,0
2017-08-13,강원,0,0
2017-08-14,강원,0,0
2017-08-15,강원,0,0
2017-08-16,강원,0,0
2017-08-17,강원,0,0
2017-08-18,강원,0,0
2017-08-19,강원,0,0
2017-08-20,강원,0,0
2017-08-21,강원,0,0
2017-08-22,강원,0,0
2017-08-23,강원,0,0
2017-08-24,강원,0,0
2017-08-25,강원,0,0
2017-08-26,강원,0,0
2017-08-27,강원,0,0
2017-08-28,강원,0,0
2017-08-29,강원,0,0
2017-08-30,강원,0,0
2017-08-31,강원,0,0
2017-09-01,강원,0,0
2017-09-02,강원,0,0
2017-09-03,강원,0,0
2017-09-04,강원,0,0
2017-09-05,강원,0,0
2017-09-06,강원,0,0
2017-09-07,강원,0,0
2017-09-08,강원,0,0
2017-09-09,강원,0,0
2017-09-10,강원,0,0
2017-09-11,강원,0,0
2017-09-12,강원,0,0
2017-09-13,강원,0,0
2017-09-14,강원,0,0
2017-09-15,강원,0,0
2017-09-16,강원,0,0
2017-09-17,강원,0,0
2017-09-18,강원,0,0
2017-09-19,강원,0,0
2017-09-20,강원,0,0
2017-09-21,강원,0,0
2017-09-22,강원,0,0
2017-09-23,강원,0,0
2017-09-24,강원,0,0
2017-09-25,강원,0,0
2017-09-26,강원,0,0
2017-09-27,강원,0,0
2017-09-28,강원,0,0
2017-09-29,강원,0,0
2017-09-30,강원,0,0
2017-10-01,강원,0,0
2017-10-02,강원,0,0
2017-10-03,강원,0,0
2017-10-04,강원,0,0
2017-10-05,강원,0,0
2017-10-06,강원,0,0
2017-10-07,강원,0,0
2017-10-08,강원,0,0
2017-10-09,강원,0,0
2017-10-10,강원,0,0
2017-10-11,강원,0,0
2017-10-12,강원,0,0
2017-10-13,강원,0,0
2017-10-14,강원,0,0
2017-10-15,강원,0,0
2017-10-16,강원,0,0
2017-10-17,강원,0,0
2017-10-18,강원,0,0
2017-10-19,강원,0,0
2017-10-20,강원,0,0
2017-10-21,강원,0,0
2017-10-22,강원,0,0
2017-10-23,강원,0,0
2017-10-24,강원,0,0
2017-10-25,강원,0,0
2017-10-26,강원,0,0
2017-10-27,강원,0,0
2017-10-28,강원,0,0
2017-10-29,강원,0,0
2017-10-30,강원,0,0
2017-10-31,강원,0,0
2017-11-01,강원,0,0
2017-11-02,강원,0,0
2017-11-03,강원,0,0
2017-11-04,강원,0,0
2017-11-05,강원,0,0
2017-11-06,강원,0,0
2017-11-07,강원,0,0
2017-11-08,강원,0,0
2017-11-09,강원,0,0
2017-11-10,강원,0,0
2017-11-11,강원,0,0
2017-11-12,강원,0,0
2017-11-13,강원,0,0
2017-11-14,강원,0,0
2017-11-15,강원,0,0
2017-11-16,강원,2,1
2017-11-17,강원,0,0
2017-11-18,강원,0,0
2017-11-19,강원,1,1
2017-11-20,강원,1,1
2017-11-21,강원,0,0
2017-11-22,강원,0,0
2017-11-23,강원,0,0
2017-11-24,강원,0,0
2017-11-25,강원,0,0
2017-11-26,강원,0,0
2017-11-27,강원,0,0
2017-11-28,강원,0,0
2017-11-29,강원,0,0
2017-11-30,강원,1,1
